sale_id,product_id,date,quantity,unit_price,revenue
1,1,2024-07-12,2,34.57,69.14
2,1,2024-07-12,2,33.45,66.9
3,1,2024-02-03,7,33.67,235.69
4,1,2024-01-16,6,33.44,200.64
5,1,2024-11-05,4,33.7,134.8
6,1,2024-11-05,4,34.22,136.88
7,1,2024-02-27,2,34.09,68.18
8,1,2024-02-27,5,33.96,169.8
9,1,2024-07-02,7,33.43,234.01
10,1,2024-03-17,2,34.02,68.04
11,1,2024-04-29,3,33.79,101.37
12,1,2024-06-01,5,33.28,166.4
13,1,2024-05-06,2,34.68,69.36
14,1,2024-05-06,12,33.19,398.28
15,1,2024-05-06,7,33.89,237.23
16,1,2024-12-04,3,33.53,100.59
17,1,2024-02-09,7,34.37,240.59
18,1,2024-10-31,7,33.3,233.1
19,1,2024-02-25,6,32.89,197.34
20,1,2024-05-17,3,33.81,101.43
21,1,2024-10-27,7,32.99,230.93
22,1,2024-01-01,5,34.12,170.6
23,1,2024-10-02,10,34.26,342.6
24,1,2024-10-02,4,33.34,133.36
25,1,2024-10-02,7,32.86,230.02
26,1,2024-11-25,6,34.41,206.46
27,1,2024-04-11,8,33.71,269.68
28,1,2024-01-10,6,34.79,208.74
29,1,2024-06-14,5,32.95,164.75
30,1,2024-03-13,7,34.57,241.99
31,1,2024-09-10,2,34.47,68.94
32,1,2024-09-05,4,34.85,139.4
33,1,2024-09-05,2,34.77,69.54
34,1,2024-07-14,3,34.09,102.27
35,1,2024-08-08,6,33.87,203.22
36,1,2024-08-08,9,33.96,305.64
37,1,2024-08-08,1,34.36,34.36
38,1,2024-10-19,7,33.37,233.59
39,1,2024-12-15,3,34.14,102.42
40,1,2024-12-27,4,33.9,135.6
41,1,2024-01-26,7,33.4,233.8
42,1,2024-04-18,10,33.42,334.2
43,1,2024-02-12,9,33.49,301.41
44,1,2024-02-12,1,33.13,33.13
45,1,2024-12-18,5,34.25,171.25
46,1,2024-12-18,7,32.97,230.79
47,1,2024-07-15,5,33.95,169.75
48,1,2024-07-15,5,33.26,166.3
49,1,2024-07-15,4,34.68,138.72
50,1,2024-04-24,1,34.26,34.26
51,1,2024-03-04,5,34.4,172.0
52,1,2024-03-04,4,32.86,131.44
53,1,2024-01-23,5,34.37,171.85
54,1,2024-12-08,4,34.78,139.12
55,1,2024-11-27,5,34.36,171.8
56,1,2024-08-30,8,34.07,272.56
57,1,2024-12-11,3,33.29,99.87
58,1,2024-01-31,5,32.9,164.5
59,1,2024-10-24,1,34.22,34.22
60,1,2024-10-24,5,33.18,165.9
61,1,2024-04-19,9,33.1,297.9
62,1,2024-04-19,5,32.9,164.5
63,1,2024-04-19,7,33.99,237.93
64,1,2024-08-22,3,34.15,102.45
65,1,2024-03-31,6,33.78,202.68
66,1,2024-02-26,5,33.61,168.05
67,1,2024-02-26,9,33.51,301.59
68,1,2024-02-26,9,33.61,302.49
69,1,2024-01-06,3,34.53,103.59
70,1,2024-02-15,7,33.01,231.07
71,1,2024-08-21,6,33.94,203.64
72,1,2024-08-21,5,33.56,167.8
73,1,2024-08-21,5,34.43,172.15
74,1,2024-12-12,7,34.38,240.66
75,1,2024-10-10,4,33.25,133.0
76,1,2024-09-19,4,33.15,132.6
77,1,2024-09-19,4,34.2,136.8
78,1,2024-06-25,4,33.29,133.16
79,1,2024-12-03,5,34.4,172.0
80,1,2024-04-03,4,34.08,136.32
81,1,2024-04-03,6,33.08,198.48
82,1,2024-01-04,3,34.8,104.4
83,1,2024-01-04,4,32.9,131.6
84,1,2024-01-04,7,34.22,239.54
85,1,2024-12-25,6,33.65,201.9
86,1,2024-03-18,7,33.0,231.0
87,1,2024-03-18,2,34.12,68.24
88,1,2024-08-25,9,34.41,309.69
89,1,2024-08-25,6,34.06,204.36
90,1,2024-12-13,8,34.84,278.72
