product_id,date,stock_on_hand,reorder_point,lead_time_days,unit_cost
1,2024-01-01,139,60,6,23.5
1,2024-01-02,139,60,6,23.5
1,2024-01-03,133,60,6,23.5
1,2024-01-04,119,60,6,23.5
1,2024-01-05,119,60,6,23.5
1,2024-01-06,116,60,6,23.5
1,2024-01-07,111,60,6,23.5
1,2024-01-08,96,60,6,23.5
1,2024-01-09,96,60,6,23.5
1,2024-01-10,90,60,6,23.5
1,2024-01-11,81,60,6,23.5
1,2024-01-12,69,60,6,23.5
1,2024-01-13,69,60,6,23.5
1,2024-01-14,69,60,6,23.5
1,2024-01-15,69,60,6,23.5
1,2024-01-16,63,60,6,23.5
1,2024-01-17,61,60,6,23.5
1,2024-01-18,116,60,6,23.5
1,2024-01-19,110,60,6,23.5
1,2024-01-20,102,60,6,23.5
1,2024-01-21,102,60,6,23.5
1,2024-01-22,102,60,6,23.5
1,2024-01-23,97,60,6,23.5
1,2024-01-24,91,60,6,23.5
1,2024-01-25,79,60,6,23.5
1,2024-01-26,72,60,6,23.5
1,2024-01-27,72,60,6,23.5
1,2024-01-28,72,60,6,23.5
1,2024-01-29,72,60,6,23.5
1,2024-01-30,72,60,6,23.5
1,2024-01-31,67,60,6,23.5
1,2024-02-01,184,60,6,23.5
1,2024-02-02,184,60,6,23.5
1,2024-02-03,177,60,6,23.5
1,2024-02-04,177,60,6,23.5
1,2024-02-05,177,60,6,23.5
1,2024-02-06,168,60,6,23.5
1,2024-02-07,162,60,6,23.5
1,2024-02-08,159,60,6,23.5
1,2024-02-09,152,60,6,23.5
1,2024-02-10,152,60,6,23.5
1,2024-02-11,152,60,6,23.5
1,2024-02-12,142,60,6,23.5
1,2024-02-13,142,60,6,23.5
1,2024-02-14,142,60,6,23.5
1,2024-02-15,135,60,6,23.5
1,2024-02-16,128,60,6,23.5
1,2024-02-17,128,60,6,23.5
1,2024-02-18,128,60,6,23.5
1,2024-02-19,128,60,6,23.5
1,2024-02-20,128,60,6,23.5
1,2024-02-21,128,60,6,23.5
1,2024-02-22,128,60,6,23.5
1,2024-02-23,128,60,6,23.5
1,2024-02-24,128,60,6,23.5
1,2024-02-25,122,60,6,23.5
1,2024-02-26,99,60,6,23.5
1,2024-02-27,92,60,6,23.5
1,2024-02-28,92,60,6,23.5
1,2024-02-29,84,60,6,23.5
1,2024-03-01,76,60,6,23.5
1,2024-03-02,76,60,6,23.5
1,2024-03-03,76,60,6,23.5
1,2024-03-04,67,60,6,23.5
1,2024-03-05,67,60,6,23.5
1,2024-03-06,67,60,6,23.5
1,2024-03-07,61,60,6,23.5
