product_id,date,stock_on_hand,reorder_point,lead_time_days,unit_cost,daily_quantity_sold,daily_revenue,stock_ratio
1,2024-01-01,139,60,6,23.5,5.0,170.6,27.8
1,2024-01-02,139,60,6,23.5,0.0,0.0,139.0
1,2024-01-03,133,60,6,23.5,6.0,204.72,22.166666666666668
1,2024-01-04,119,60,6,23.5,14.0,475.53999999999996,8.5
1,2024-01-05,119,60,6,23.5,0.0,0.0,119.0
1,2024-01-06,116,60,6,23.5,3.0,103.59,38.666666666666664
1,2024-01-07,111,60,6,23.5,5.0,165.15,22.2
1,2024-01-08,96,60,6,23.5,15.0,505.5,6.4
1,2024-01-09,96,60,6,23.5,0.0,0.0,96.0
1,2024-01-10,90,60,6,23.5,6.0,208.74,15.0
1,2024-01-11,81,60,6,23.5,9.0,304.84000000000003,9.0
1,2024-01-12,69,60,6,23.5,12.0,408.83000000000004,5.75
1,2024-01-13,69,60,6,23.5,0.0,0.0,69.0
1,2024-01-14,69,60,6,23.5,0.0,0.0,69.0
1,2024-01-15,69,60,6,23.5,0.0,0.0,69.0
1,2024-01-16,63,60,6,23.5,6.0,200.64,10.5
1,2024-01-17,61,60,6,23.5,2.0,68.92,30.5
1,2024-01-18,116,60,6,23.5,2.0,68.16,58.0
1,2024-01-19,110,60,6,23.5,6.0,200.1,18.333333333333332
1,2024-01-20,102,60,6,23.5,8.0,274.16,12.75
1,2024-01-21,102,60,6,23.5,0.0,0.0,102.0
1,2024-01-22,102,60,6,23.5,0.0,0.0,102.0
1,2024-01-23,97,60,6,23.5,5.0,171.85,19.4
1,2024-01-24,91,60,6,23.5,6.0,199.48000000000002,15.166666666666666
1,2024-01-25,79,60,6,23.5,12.0,402.76,6.583333333333333
1,2024-01-26,72,60,6,23.5,7.0,233.8,10.285714285714286
1,2024-01-27,72,60,6,23.5,0.0,0.0,72.0
1,2024-01-28,72,60,6,23.5,0.0,0.0,72.0
1,2024-01-29,72,60,6,23.5,0.0,0.0,72.0
1,2024-01-30,72,60,6,23.5,0.0,0.0,72.0
1,2024-01-31,67,60,6,23.5,5.0,164.5,13.4
1,2024-02-01,184,60,6,23.5,8.0,271.94,23.0
1,2024-02-02,184,60,6,23.5,0.0,0.0,184.0
1,2024-02-03,177,60,6,23.5,7.0,235.69,25.285714285714285
1,2024-02-04,177,60,6,23.5,0.0,0.0,177.0
1,2024-02-05,177,60,6,23.5,0.0,0.0,177.0
1,2024-02-06,168,60,6,23.5,9.0,301.68,18.666666666666668
1,2024-02-07,162,60,6,23.5,6.0,208.86,27.0
1,2024-02-08,159,60,6,23.5,3.0,100.32,53.0
1,2024-02-09,152,60,6,23.5,7.0,240.59,21.714285714285715
1,2024-02-10,152,60,6,23.5,0.0,0.0,152.0
1,2024-02-11,152,60,6,23.5,0.0,0.0,152.0
1,2024-02-12,142,60,6,23.5,10.0,334.54,14.2
1,2024-02-13,142,60,6,23.5,0.0,0.0,142.0
1,2024-02-14,142,60,6,23.5,0.0,0.0,142.0
1,2024-02-15,135,60,6,23.5,7.0,231.07,19.285714285714285
1,2024-02-16,128,60,6,23.5,7.0,241.57,18.285714285714285
1,2024-02-17,128,60,6,23.5,0.0,0.0,128.0
1,2024-02-18,128,60,6,23.5,0.0,0.0,128.0
1,2024-02-19,128,60,6,23.5,0.0,0.0,128.0
1,2024-02-20,128,60,6,23.5,0.0,0.0,128.0
1,2024-02-21,128,60,6,23.5,0.0,0.0,128.0
1,2024-02-22,128,60,6,23.5,0.0,0.0,128.0
1,2024-02-23,128,60,6,23.5,0.0,0.0,128.0
1,2024-02-24,128,60,6,23.5,0.0,0.0,128.0
1,2024-02-25,122,60,6,23.5,6.0,197.34,20.333333333333332
1,2024-02-26,99,60,6,23.5,23.0,772.13,4.304347826086956
1,2024-02-27,92,60,6,23.5,7.0,237.98000000000002,13.142857142857142
1,2024-02-28,92,60,6,23.5,0.0,0.0,92.0
1,2024-02-29,84,60,6,23.5,8.0,274.08,10.5
1,2024-03-01,76,60,6,23.5,8.0,271.74,9.5
1,2024-03-02,76,60,6,23.5,0.0,0.0,76.0
1,2024-03-03,76,60,6,23.5,0.0,0.0,76.0
1,2024-03-04,67,60,6,23.5,9.0,303.44,7.444444444444445
1,2024-03-05,67,60,6,23.5,0.0,0.0,67.0
1,2024-03-06,67,60,6,23.5,0.0,0.0,67.0
1,2024-03-07,61,60,6,23.5,6.0,199.74,10.166666666666666
1,2024-03-08,142,60,6,23.5,3.0,103.77,47.333333333333336
1,2024-03-09,137,60,6,23.5,5.0,168.85,27.4
1,2024-03-10,131,60,6,23.5,6.0,199.53,21.833333333333332
1,2024-03-11,131,60,6,23.5,0.0,0.0,131.0
1,2024-03-12,131,60,6,23.5,0.0,0.0,131.0
1,2024-03-13,124,60,6,23.5,7.0,241.99,17.714285714285715
1,2024-03-14,118,60,6,23.5,6.0,205.57999999999998,19.666666666666668
1,2024-03-15,118,60,6,23.5,0.0,0.0,118.0
1,2024-03-16,115,60,6,23.5,3.0,102.93,38.333333333333336
1,2024-03-17,113,60,6,23.5,2.0,68.04,56.5
1,2024-03-18,104,60,6,23.5,9.0,299.24,11.555555555555555
1,2024-03-19,89,60,6,23.5,15.0,503.52,5.933333333333334
1,2024-03-20,86,60,6,23.5,3.0,99.03,28.666666666666668
1,2024-03-21,86,60,6,23.5,0.0,0.0,86.0
1,2024-03-22,80,60,6,23.5,6.0,201.72,13.333333333333334
1,2024-03-23,73,60,6,23.5,7.0,240.44,10.428571428571429
1,2024-03-24,73,60,6,23.5,0.0,0.0,73.0
1,2024-03-25,72,60,6,23.5,1.0,34.38,72.0
1,2024-03-26,72,60,6,23.5,0.0,0.0,72.0
1,2024-03-27,68,60,6,23.5,4.0,137.8,17.0
1,2024-03-28,68,60,6,23.5,0.0,0.0,68.0
1,2024-03-29,68,60,6,23.5,0.0,0.0,68.0
1,2024-03-30,68,60,6,23.5,0.0,0.0,68.0
1,2024-03-31,62,60,6,23.5,6.0,202.68,10.333333333333334
1,2024-04-01,62,60,6,23.5,0.0,0.0,62.0
1,2024-04-02,96,60,6,23.5,9.0,305.3,10.666666666666666
1,2024-04-03,86,60,6,23.5,10.0,334.79999999999995,8.6
1,2024-04-04,85,60,6,23.5,1.0,33.34,85.0
1,2024-04-05,85,60,6,23.5,0.0,0.0,85.0
1,2024-04-06,77,60,6,23.5,8.0,269.04,9.625
1,2024-04-07,73,60,6,23.5,4.0,138.44,18.25
1,2024-04-08,73,60,6,23.5,0.0,0.0,73.0
1,2024-04-09,73,60,6,23.5,0.0,0.0,73.0
1,2024-04-10,73,60,6,23.5,0.0,0.0,73.0
1,2024-04-11,65,60,6,23.5,8.0,269.68,8.125
1,2024-04-12,65,60,6,23.5,0.0,0.0,65.0
1,2024-04-13,119,60,6,23.5,8.0,266.72,14.875
1,2024-04-14,115,60,6,23.5,4.0,136.04,28.75
1,2024-04-15,115,60,6,23.5,0.0,0.0,115.0
1,2024-04-16,115,60,6,23.5,0.0,0.0,115.0
1,2024-04-17,115,60,6,23.5,0.0,0.0,115.0
1,2024-04-18,105,60,6,23.5,10.0,334.2,10.5
1,2024-04-19,84,60,6,23.5,21.0,700.3299999999999,4.0
1,2024-04-20,78,60,6,23.5,6.0,202.68,13.0
1,2024-04-21,73,60,6,23.5,5.0,174.1,14.6
1,2024-04-22,67,60,6,23.5,6.0,206.82,11.166666666666666
1,2024-04-23,200,60,6,23.5,8.0,267.12,25.0
1,2024-04-24,199,60,6,23.5,1.0,34.26,199.0
1,2024-04-25,186,60,6,23.5,13.0,438.88,14.307692307692308
1,2024-04-26,179,60,6,23.5,7.0,231.63,25.571428571428573
1,2024-04-27,174,60,6,23.5,5.0,173.4,34.8
1,2024-04-28,154,60,6,23.5,20.0,676.02,7.7
1,2024-04-29,151,60,6,23.5,3.0,101.37,50.333333333333336
1,2024-04-30,151,60,6,23.5,0.0,0.0,151.0
1,2024-05-01,151,60,6,23.5,0.0,0.0,151.0
1,2024-05-02,146,60,6,23.5,5.0,172.85,29.2
1,2024-05-03,146,60,6,23.5,0.0,0.0,146.0
1,2024-05-04,142,60,6,23.5,4.0,137.96,35.5
1,2024-05-05,132,60,6,23.5,10.0,344.01,13.2
1,2024-05-06,111,60,6,23.5,21.0,704.87,5.285714285714286
1,2024-05-07,111,60,6,23.5,0.0,0.0,111.0
1,2024-05-08,111,60,6,23.5,0.0,0.0,111.0
1,2024-05-09,100,60,6,23.5,11.0,369.35,9.090909090909092
1,2024-05-10,100,60,6,23.5,0.0,0.0,100.0
1,2024-05-11,100,60,6,23.5,0.0,0.0,100.0
1,2024-05-12,94,60,6,23.5,6.0,201.96,15.666666666666666
1,2024-05-13,94,60,6,23.5,0.0,0.0,94.0
1,2024-05-14,94,60,6,23.5,0.0,0.0,94.0
1,2024-05-15,94,60,6,23.5,0.0,0.0,94.0
1,2024-05-16,94,60,6,23.5,0.0,0.0,94.0
1,2024-05-17,91,60,6,23.5,3.0,101.43,30.333333333333332
1,2024-05-18,91,60,6,23.5,0.0,0.0,91.0
1,2024-05-19,88,60,6,23.5,3.0,101.31,29.333333333333332
1,2024-05-20,81,60,6,23.5,7.0,233.46,11.571428571428571
1,2024-05-21,81,60,6,23.5,0.0,0.0,81.0
1,2024-05-22,81,60,6,23.5,0.0,0.0,81.0
1,2024-05-23,75,60,6,23.5,6.0,207.06,12.5
1,2024-05-24,73,60,6,23.5,2.0,68.5,36.5
1,2024-05-25,64,60,6,23.5,9.0,302.49,7.111111111111111
1,2024-05-26,186,60,6,23.5,5.0,171.45,37.2
1,2024-05-27,184,60,6,23.5,2.0,67.72,92.0
1,2024-05-28,170,60,6,23.5,14.0,476.24,12.142857142857142
1,2024-05-29,170,60,6,23.5,0.0,0.0,170.0
1,2024-05-30,170,60,6,23.5,0.0,0.0,170.0
1,2024-05-31,170,60,6,23.5,0.0,0.0,170.0
1,2024-06-01,165,60,6,23.5,5.0,166.4,33.0
1,2024-06-02,156,60,6,23.5,9.0,306.75,17.333333333333332
1,2024-06-03,152,60,6,23.5,4.0,137.92,38.0
1,2024-06-04,140,60,6,23.5,12.0,399.35,11.666666666666666
1,2024-06-05,140,60,6,23.5,0.0,0.0,140.0
1,2024-06-06,135,60,6,23.5,5.0,165.5,27.0
1,2024-06-07,129,60,6,23.5,6.0,208.32,21.5
1,2024-06-08,129,60,6,23.5,0.0,0.0,129.0
1,2024-06-09,129,60,6,23.5,0.0,0.0,129.0
1,2024-06-10,129,60,6,23.5,0.0,0.0,129.0
1,2024-06-11,129,60,6,23.5,0.0,0.0,129.0
1,2024-06-12,119,60,6,23.5,10.0,337.6,11.9
1,2024-06-13,113,60,6,23.5,6.0,204.54,18.833333333333332
1,2024-06-14,108,60,6,23.5,5.0,164.75,21.6
1,2024-06-15,108,60,6,23.5,0.0,0.0,108.0
1,2024-06-16,98,60,6,23.5,10.0,333.9,9.8
1,2024-06-17,94,60,6,23.5,4.0,138.16,23.5
1,2024-06-18,94,60,6,23.5,0.0,0.0,94.0
1,2024-06-19,94,60,6,23.5,0.0,0.0,94.0
1,2024-06-20,94,60,6,23.5,0.0,0.0,94.0
1,2024-06-21,77,60,6,23.5,17.0,573.88,4.529411764705882
1,2024-06-22,68,60,6,23.5,9.0,308.15999999999997,7.555555555555555
1,2024-06-23,68,60,6,23.5,0.0,0.0,68.0
1,2024-06-24,102,60,6,23.5,8.0,266.88,12.75
1,2024-06-25,98,60,6,23.5,4.0,133.16,24.5
1,2024-06-26,94,60,6,23.5,4.0,134.96,23.5
1,2024-06-27,94,60,6,23.5,0.0,0.0,94.0
1,2024-06-28,91,60,6,23.5,3.0,100.68,30.333333333333332
1,2024-06-29,89,60,6,23.5,2.0,67.76,44.5
1,2024-06-30,81,60,6,23.5,8.0,275.53,10.125
1,2024-07-01,73,60,6,23.5,8.0,275.6,9.125
1,2024-07-02,66,60,6,23.5,7.0,234.01,9.428571428571429
1,2024-07-03,66,60,6,23.5,0.0,0.0,66.0
1,2024-07-04,142,60,6,23.5,9.0,309.9,15.777777777777779
1,2024-07-05,142,60,6,23.5,0.0,0.0,142.0
1,2024-07-06,142,60,6,23.5,0.0,0.0,142.0
1,2024-07-07,142,60,6,23.5,0.0,0.0,142.0
1,2024-07-08,142,60,6,23.5,0.0,0.0,142.0
1,2024-07-09,142,60,6,23.5,0.0,0.0,142.0
1,2024-07-10,142,60,6,23.5,0.0,0.0,142.0
1,2024-07-11,136,60,6,23.5,6.0,204.48,22.666666666666668
1,2024-07-12,132,60,6,23.5,4.0,136.04000000000002,33.0
1,2024-07-13,121,60,6,23.5,11.0,377.88,11.0
1,2024-07-14,118,60,6,23.5,3.0,102.27,39.333333333333336
1,2024-07-15,104,60,6,23.5,14.0,474.77,7.428571428571429
1,2024-07-16,101,60,6,23.5,3.0,103.35000000000001,33.666666666666664
1,2024-07-17,95,60,6,23.5,6.0,208.62,15.833333333333334
1,2024-07-18,89,60,6,23.5,6.0,203.7,14.833333333333334
1,2024-07-19,89,60,6,23.5,0.0,0.0,89.0
1,2024-07-20,89,60,6,23.5,0.0,0.0,89.0
