product_id,stock_on_hand,reorder_point,inventory_status,stock_ratio
1,139,60,Safe,27.8
1,139,60,Safe,139.0
1,133,60,Safe,22.17
1,119,60,Safe,8.5
1,119,60,Safe,119.0
1,116,60,Safe,38.67
1,111,60,Safe,22.2
1,96,60,Safe,6.4
1,96,60,Safe,96.0
1,90,60,Safe,15.0
1,81,60,Safe,9.0
1,69,60,Safe,5.75
1,69,60,Safe,69.0
1,69,60,Safe,69.0
1,69,60,Safe,69.0
1,63,60,Safe,10.5
1,61,60,Safe,30.5
1,116,60,Safe,58.0
1,110,60,Safe,18.33
1,102,60,Safe,12.75
1,102,60,Safe,102.0
1,102,60,Safe,102.0
1,97,60,Safe,19.4
1,91,60,Safe,15.17
1,79,60,Safe,6.58
1,72,60,Safe,10.29
1,72,60,Safe,72.0
1,72,60,Safe,72.0
1,72,60,Safe,72.0
1,72,60,Safe,72.0
1,67,60,Safe,13.4
1,184,60,Safe,23.0
1,184,60,Safe,184.0
1,177,60,Safe,25.29
1,177,60,Safe,177.0
1,177,60,Safe,177.0
1,168,60,Safe,18.67
1,162,60,Safe,27.0
1,159,60,Safe,53.0
1,152,60,Safe,21.71
1,152,60,Safe,152.0
1,152,60,Safe,152.0
1,142,60,Safe,14.2
1,142,60,Safe,142.0
1,142,60,Safe,142.0
1,135,60,Safe,19.29
1,128,60,Safe,18.29
1,128,60,Safe,128.0
1,128,60,Safe,128.0
1,128,60,Safe,128.0
1,128,60,Safe,128.0
1,128,60,Safe,128.0
1,128,60,Safe,128.0
1,128,60,Safe,128.0
1,128,60,Safe,128.0
1,122,60,Safe,20.33
1,99,60,Safe,4.3
1,92,60,Safe,13.14
1,92,60,Safe,92.0
1,84,60,Safe,10.5
1,76,60,Safe,9.5
1,76,60,Safe,76.0
1,76,60,Safe,76.0
1,67,60,Safe,7.44
1,67,60,Safe,67.0
1,67,60,Safe,67.0
1,61,60,Safe,10.17
1,142,60,Safe,47.33
1,137,60,Safe,27.4
1,131,60,Safe,21.83
1,131,60,Safe,131.0
1,131,60,Safe,131.0
1,124,60,Safe,17.71
1,118,60,Safe,19.67
1,118,60,Safe,118.0
1,115,60,Safe,38.33
1,113,60,Safe,56.5
1,104,60,Safe,11.56
1,89,60,Safe,5.93
1,86,60,Safe,28.67
1,86,60,Safe,86.0
1,80,60,Safe,13.33
1,73,60,Safe,10.43
1,73,60,Safe,73.0
1,72,60,Safe,72.0
1,72,60,Safe,72.0
1,68,60,Safe,17.0
1,68,60,Safe,68.0
1,68,60,Safe,68.0
1,68,60,Safe,68.0
1,62,60,Safe,10.33
1,62,60,Safe,62.0
1,96,60,Safe,10.67
1,86,60,Safe,8.6
1,85,60,Safe,85.0
1,85,60,Safe,85.0
1,77,60,Safe,9.63
1,73,60,Safe,18.25
1,73,60,Safe,73.0
1,73,60,Safe,73.0
1,73,60,Safe,73.0
1,65,60,Safe,8.13
1,65,60,Safe,65.0
1,119,60,Safe,14.88
1,115,60,Safe,28.75
1,115,60,Safe,115.0
1,115,60,Safe,115.0
1,115,60,Safe,115.0
1,105,60,Safe,10.5
1,84,60,Safe,4.0
1,78,60,Safe,13.0
1,73,60,Safe,14.6
1,67,60,Safe,11.17
1,200,60,Safe,25.0
1,199,60,Safe,199.0
1,186,60,Safe,14.31
1,179,60,Safe,25.57
1,174,60,Safe,34.8
1,154,60,Safe,7.7
1,151,60,Safe,50.33
1,151,60,Safe,151.0
1,151,60,Safe,151.0
1,146,60,Safe,29.2
1,146,60,Safe,146.0
1,142,60,Safe,35.5
1,132,60,Safe,13.2
1,111,60,Safe,5.29
1,111,60,Safe,111.0
1,111,60,Safe,111.0
1,100,60,Safe,9.09
1,100,60,Safe,100.0
1,100,60,Safe,100.0
1,94,60,Safe,15.67
1,94,60,Safe,94.0
1,94,60,Safe,94.0
1,94,60,Safe,94.0
1,94,60,Safe,94.0
1,91,60,Safe,30.33
1,91,60,Safe,91.0
1,88,60,Safe,29.33
1,81,60,Safe,11.57
1,81,60,Safe,81.0
1,81,60,Safe,81.0
1,75,60,Safe,12.5
1,73,60,Safe,36.5
1,64,60,Safe,7.11
1,186,60,Safe,37.2
1,184,60,Safe,92.0
1,170,60,Safe,12.14
1,170,60,Safe,170.0
1,170,60,Safe,170.0
1,170,60,Safe,170.0
1,165,60,Safe,33.0
1,156,60,Safe,17.33
1,152,60,Safe,38.0
1,140,60,Safe,11.67
1,140,60,Safe,140.0
1,135,60,Safe,27.0
1,129,60,Safe,21.5
1,129,60,Safe,129.0
1,129,60,Safe,129.0
1,129,60,Safe,129.0
1,129,60,Safe,129.0
1,119,60,Safe,11.9
1,113,60,Safe,18.83
1,108,60,Safe,21.6
1,108,60,Safe,108.0
1,98,60,Safe,9.8
1,94,60,Safe,23.5
1,94,60,Safe,94.0
1,94,60,Safe,94.0
1,94,60,Safe,94.0
1,77,60,Safe,4.53
1,68,60,Safe,7.56
1,68,60,Safe,68.0
1,102,60,Safe,12.75
1,98,60,Safe,24.5
1,94,60,Safe,23.5
1,94,60,Safe,94.0
1,91,60,Safe,30.33
1,89,60,Safe,44.5
1,81,60,Safe,10.13
1,73,60,Safe,9.13
1,66,60,Safe,9.43
1,66,60,Safe,66.0
1,142,60,Safe,15.78
1,142,60,Safe,142.0
1,142,60,Safe,142.0
1,142,60,Safe,142.0
1,142,60,Safe,142.0
1,142,60,Safe,142.0
1,142,60,Safe,142.0
1,136,60,Safe,22.67
1,132,60,Safe,33.0
1,121,60,Safe,11.0
1,118,60,Safe,39.33
1,104,60,Safe,7.43
1,101,60,Safe,33.67
1,95,60,Safe,15.83
1,89,60,Safe,14.83
1,89,60,Safe,89.0
1,89,60,Safe,89.0
1,79,60,Safe,7.9
1,65,60,Safe,4.64
1,65,60,Safe,65.0
1,65,60,Safe,65.0
1,65,60,Safe,65.0
1,65,60,Safe,65.0
1,194,60,Safe,27.71
1,192,60,Safe,96.0
1,192,60,Safe,192.0
1,188,60,Safe,47.0
1,188,60,Safe,188.0
1,188,60,Safe,188.0
1,188,60,Safe,188.0
1,188,60,Safe,188.0
1,188,60,Safe,188.0
1,188,60,Safe,188.0
1,181,60,Safe,25.86
1,173,60,Safe,21.63
1,157,60,Safe,9.81
1,157,60,Safe,157.0
1,142,60,Safe,9.47
1,142,60,Safe,142.0
1,134,60,Safe,16.75
1,131,60,Safe,43.67
1,131,60,Safe,131.0
1,125,60,Safe,20.83
1,125,60,Safe,125.0
1,112,60,Safe,8.62
1,112,60,Safe,112.0
1,107,60,Safe,21.4
1,102,60,Safe,20.4
1,86,60,Safe,5.38
1,83,60,Safe,27.67
1,83,60,Safe,83.0
1,83,60,Safe,83.0
1,68,60,Safe,4.53
1,62,60,Safe,10.33
1,188,60,Safe,47.0
1,188,60,Safe,188.0
1,188,60,Safe,188.0
1,180,60,Safe,22.5
1,180,60,Safe,180.0
1,174,60,Safe,29.0
1,170,60,Safe,42.5
1,170,60,Safe,170.0
1,161,60,Safe,17.89
1,155,60,Safe,25.83
1,153,60,Safe,76.5
1,145,60,Safe,18.13
1,145,60,Safe,145.0
1,145,60,Safe,145.0
1,143,60,Safe,71.5
1,138,60,Safe,27.6
1,129,60,Safe,14.33
1,129,60,Safe,129.0
1,129,60,Safe,129.0
1,123,60,Safe,20.5
