product_id,forecast_week,forecast_date,forecast_quantity,model_type
1,1,2024-12-30,8.863099944794804,Holt's Linear Exponential Smoothing
1,1,2024-12-31,10.697840044488922,Holt's Linear Exponential Smoothing
1,1,2025-01-01,12.53258014418304,Holt's Linear Exponential Smoothing
1,1,2025-01-02,14.367320243877158,Holt's Linear Exponential Smoothing
1,1,2025-01-03,16.202060343571276,Holt's Linear Exponential Smoothing
1,1,2025-01-04,18.036800443265392,Holt's Linear Exponential Smoothing
1,1,2025-01-05,19.87154054295951,Holt's Linear Exponential Smoothing
1,2,2025-01-06,21.706280642653628,Holt's Linear Exponential Smoothing
1,2,2025-01-07,23.541020742347747,Holt's Linear Exponential Smoothing
1,2,2025-01-08,25.375760842041863,Holt's Linear Exponential Smoothing
1,2,2025-01-09,27.210500941735983,Holt's Linear Exponential Smoothing
1,2,2025-01-10,29.0452410414301,Holt's Linear Exponential Smoothing
1,2,2025-01-11,30.87998114112422,Holt's Linear Exponential Smoothing
1,2,2025-01-12,32.714721240818335,Holt's Linear Exponential Smoothing
1,3,2025-01-13,34.54946134051245,Holt's Linear Exponential Smoothing
1,3,2025-01-14,36.38420144020657,Holt's Linear Exponential Smoothing
1,3,2025-01-15,38.21894153990068,Holt's Linear Exponential Smoothing
1,3,2025-01-16,40.05368163959481,Holt's Linear Exponential Smoothing
1,3,2025-01-17,41.88842173928892,Holt's Linear Exponential Smoothing
1,3,2025-01-18,43.72316183898304,Holt's Linear Exponential Smoothing
1,3,2025-01-19,45.55790193867716,Holt's Linear Exponential Smoothing
1,4,2025-01-20,47.39264203837128,Holt's Linear Exponential Smoothing
1,4,2025-01-21,49.227382138065394,Holt's Linear Exponential Smoothing
1,4,2025-01-22,51.06212223775951,Holt's Linear Exponential Smoothing
1,4,2025-01-23,52.896862337453626,Holt's Linear Exponential Smoothing
1,4,2025-01-24,54.73160243714775,Holt's Linear Exponential Smoothing
1,4,2025-01-25,56.566342536841866,Holt's Linear Exponential Smoothing
1,4,2025-01-26,58.40108263653598,Holt's Linear Exponential Smoothing
2,1,2024-12-31,2.2075397306243842,Holt's Linear Exponential Smoothing
2,1,2025-01-01,0.8702429194521648,Holt's Linear Exponential Smoothing
2,1,2025-01-02,0.0,Holt's Linear Exponential Smoothing
2,1,2025-01-03,0.0,Holt's Linear Exponential Smoothing
2,1,2025-01-04,0.0,Holt's Linear Exponential Smoothing
2,1,2025-01-05,0.0,Holt's Linear Exponential Smoothing
2,1,2025-01-06,0.0,Holt's Linear Exponential Smoothing
2,2,2025-01-07,0.0,Holt's Linear Exponential Smoothing
2,2,2025-01-08,0.0,Holt's Linear Exponential Smoothing
2,2,2025-01-09,0.0,Holt's Linear Exponential Smoothing
2,2,2025-01-10,0.0,Holt's Linear Exponential Smoothing
2,2,2025-01-11,0.0,Holt's Linear Exponential Smoothing
2,2,2025-01-12,0.0,Holt's Linear Exponential Smoothing
2,2,2025-01-13,0.0,Holt's Linear Exponential Smoothing
2,3,2025-01-14,0.0,Holt's Linear Exponential Smoothing
2,3,2025-01-15,0.0,Holt's Linear Exponential Smoothing
2,3,2025-01-16,0.0,Holt's Linear Exponential Smoothing
2,3,2025-01-17,0.0,Holt's Linear Exponential Smoothing
2,3,2025-01-18,0.0,Holt's Linear Exponential Smoothing
2,3,2025-01-19,0.0,Holt's Linear Exponential Smoothing
2,3,2025-01-20,0.0,Holt's Linear Exponential Smoothing
2,4,2025-01-21,0.0,Holt's Linear Exponential Smoothing
2,4,2025-01-22,0.0,Holt's Linear Exponential Smoothing
2,4,2025-01-23,0.0,Holt's Linear Exponential Smoothing
2,4,2025-01-24,0.0,Holt's Linear Exponential Smoothing
2,4,2025-01-25,0.0,Holt's Linear Exponential Smoothing
2,4,2025-01-26,0.0,Holt's Linear Exponential Smoothing
2,4,2025-01-27,0.0,Holt's Linear Exponential Smoothing
3,1,2024-12-31,4.2651047472291355,Holt's Linear Exponential Smoothing
3,1,2025-01-01,4.9405732605030295,Holt's Linear Exponential Smoothing
3,1,2025-01-02,5.616041773776924,Holt's Linear Exponential Smoothing
3,1,2025-01-03,6.2915102870508175,Holt's Linear Exponential Smoothing
3,1,2025-01-04,6.966978800324712,Holt's Linear Exponential Smoothing
3,1,2025-01-05,7.642447313598607,Holt's Linear Exponential Smoothing
3,1,2025-01-06,8.3179158268725,Holt's Linear Exponential Smoothing
3,2,2025-01-07,8.993384340146395,Holt's Linear Exponential Smoothing
3,2,2025-01-08,9.668852853420288,Holt's Linear Exponential Smoothing
3,2,2025-01-09,10.344321366694183,Holt's Linear Exponential Smoothing
3,2,2025-01-10,11.019789879968078,Holt's Linear Exponential Smoothing
3,2,2025-01-11,11.695258393241973,Holt's Linear Exponential Smoothing
3,2,2025-01-12,12.370726906515866,Holt's Linear Exponential Smoothing
3,2,2025-01-13,13.046195419789761,Holt's Linear Exponential Smoothing
3,3,2025-01-14,13.721663933063654,Holt's Linear Exponential Smoothing
3,3,2025-01-15,14.39713244633755,Holt's Linear Exponential Smoothing
3,3,2025-01-16,15.072600959611444,Holt's Linear Exponential Smoothing
3,3,2025-01-17,15.748069472885337,Holt's Linear Exponential Smoothing
3,3,2025-01-18,16.423537986159232,Holt's Linear Exponential Smoothing
